Allele	Caucasian	Black	Asian
hla_b_38_01	0.029	0.001	0.002
hla_b_38_02	0.000	0.000	0.023
hla_b_38_03	0.000	0.000	0.000
hla_b_38_04	0.000	0.000	0.000
hla_b_38_05	0.000	0.000	0.000
hla_b_38_06	0.000	0.000	0.000
hla_b_38_07	0.000	0.000	0.000
hla_b_38_08	0.000	0.000	0.000
hla_b_38_09	0.000	0.000	0.000
hla_b_38_10	0.000	0.000	0.000
hla_b_39_01	0.014	0.003	0.024
hla_b_39_02	0.000	0.000	0.001
hla_b_39_03	0.000	0.000	0.000
hla_b_39_04	0.000	0.000	0.000
hla_b_39_05	0.000	0.000	0.000
hla_b_39_06	0.004	0.001	0.000
hla_b_39_07	0.000	0.000	0.000
hla_b_39_08	0.000	0.000	0.000
hla_b_39_09	0.000	0.000	0.001
hla_b_39_10	0.000	0.005	0.000
hla_b_39_11	0.000	0.000	0.000
hla_b_39_12	0.000	0.000	0.000
hla_b_39_13	0.000	0.000	0.000
hla_b_39_14	0.000	0.000	0.000
hla_b_39_15	0.000	0.000	0.000
hla_b_39_16	0.000	0.000	0.000
hla_b_39_17	0.000	0.000	0.000
hla_b_39_18	0.000	0.000	0.000
hla_b_39_19	0.000	0.000	0.000
hla_b_39_20	0.000	0.000	0.000
hla_b_39_22	0.000	0.000	0.000
hla_b_39_23	0.000	0.000	0.000
hla_b_39_24	0.000	0.000	0.000
hla_b_39_25n	0.000	0.000	0.000
hla_b_39_26	0.000	0.000	0.000
hla_b_39_27	0.000	0.000	0.000
hla_b_39_28	0.000	0.000	0.000
hla_b_39_29	0.000	0.000	0.000
hla_b_39_30	0.000	0.000	0.000
hla_b_39_31	0.000	0.000	0.000
hla_b_39_32	0.000	0.000	0.000
hla_b_39_33	0.000	0.000	0.000
hla_b_40_01	0.040	0.010	0.120
hla_b_40_02	0.016	0.003	0.076
hla_b_40_03	0.000	0.000	0.001
